CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
a764c0ca7263   redis_redis-replica_3   0.66%     6.359MiB / 15.55GiB   0.04%     11.5MB / 498kB    184kB / 15MB     7
91da5ba107bd   redis_redis-replica_1   6.32%     6.383MiB / 15.55GiB   0.04%     12.7MB / 504kB    193kB / 15.3MB   7
a0cabf92bf36   redis_redis-replica_2   6.04%     6.391MiB / 15.55GiB   0.04%     12.7MB / 515kB    193kB / 15.2MB   7
83aca997f9e0   redis_redis-master_1    14.40%    6.148MiB / 15.55GiB   0.04%     15.8MB / 44.8MB   193kB / 15MB     6
62b9b8e9d2ef   secondary1              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
d7006a18086b   primary                 0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
f9a1f9c4c25c   secondary3              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
05171fe267b1   secondary2              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
a764c0ca7263   redis_redis-replica_3   0.16%     6.359MiB / 15.55GiB   0.04%     12.7MB / 529kB    193kB / 16.2MB   7
91da5ba107bd   redis_redis-replica_1   0.16%     6.355MiB / 15.55GiB   0.04%     12.7MB / 505kB    193kB / 16.2MB   7
a0cabf92bf36   redis_redis-replica_2   0.15%     6.363MiB / 15.55GiB   0.04%     12.7MB / 515kB    193kB / 16.2MB   7
83aca997f9e0   redis_redis-master_1    0.15%     6.121MiB / 15.55GiB   0.04%     15.8MB / 44.8MB   193kB / 16MB     6
62b9b8e9d2ef   secondary1              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
d7006a18086b   primary                 0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
f9a1f9c4c25c   secondary3              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
05171fe267b1   secondary2              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
